SnesAddressHex,SnesAddress,Name,Comment,UsedStatus
$8090CB,8425675,QueueSound_Lib2_Max6,,USED
$8090D3,8425683,QueueSound_Lib2,,USED
$809106,8425734,.queueSound,,USED
$809114,8425748,.return,,USED
$809118,8425752,.queueFull,,USED
$809125,8425765,QueueSound_Lib3_Max15,,USED
$80912F,8425775,QueueSound_Lib3_Max9,,USED
$809139,8425785,QueueSound_Lib3_Max3,,USED
$809143,8425795,QueueSound_Lib3_Max1,,USED
$80914D,8425805,QueueSound_Lib3_Max6,,USED
$809155,8425813,QueueSound_Lib3,,USED
$809188,8425864,.queueSound,,USED
$809196,8425878,.return,,USED
$80919A,8425882,.queueFull,,USED
$8091A7,8425895,NOPRTS_8091A7,,USED
$8091A9,8425897,SetupHDMATransfer,,USED
$8091E6,8425958,.table,,USED
$8091EE,8425966,Update_IO_Registers,,USED
$8092FD,8426237,.mode7,,USED
$80933A,8426298,UpdateOAM_CGRAM,,USED
$809376,8426358,TransferSamusTilesToVRAM,,USED
$8093CB,8426443,.bottom,,USED
$809414,8426516,.return,,USED
$809416,8426518,ProcessAnimatedTilesObjectVRAMTransfers,,USED
$809422,8426530,.loop,,USED
$809453,8426579,.next,,USED
$809457,8426583,.return,,USED
$809459,8426585,ReadControllerInput,,USED
$80945C,8426588,.wait,,USED
$809488,8426632,.unheld,,USED
$80948C,8426636,.heldEnd,,USED
$809497,8426647,.debug,,USED
$8094BA,8426682,.unheld2,,USED
$8094BE,8426686,.held2End,,USED
$8094D4,8426708,.checkDebug,,USED
$8094E8,8426728,.debugEnabled,,USED
$8094F6,8426742,.debugInputEnabled,,USED
$809509,8426761,.checkSelectR,,USED
$80951F,8426783,.checkToggleHUD,,USED
$80952E,8426798,.checkAmmoSwap,,USED
$80955E,8426846,.swapAmmo,,USED
$809570,8426864,.swapEnd,,USED
$809581,8426881,.return,,USED
$809583,8426883,NMI,,USED
$809589,8426889,.bank80,,USED
$8095AC,8426924,.handleHDMAQueue,,USED
$8095BA,8426938,.next,,USED
$8095CC,8426956,.mode7Enabled,,USED
$8095D0,8426960,.mode7Disabled,,USED
$8095F7,8426999,.return,,USED
$809602,8427010,.lag,,USED
$809616,8427030,InterruptCommandPointers,,USED
$809632,8427058,ExecuteDoorTransitionVRAMUpdate,,USED
$80966E,8427118,Interrupt_Cmd0,,USED
$809676,8427126,.returnZero,,USED
$809679,8427129,.return,,USED
$809680,8427136,Interrupt_Cmd2_DisableHVCounterInterrupts,,USED
$80968B,8427147,Interrupt_Cmd4_MainGameplay_BeginHUDDrawing,,USED
$8096A9,8427177,Interrupt_Cmd6_MainGameplay_EndHUDDrawing,,USED
$8096C9,8427209,.setCommand4,,USED
$8096CC,8427212,.return,,USED
$8096D3,8427219,Interrupt_Cmd8_StartDoorTransition_BeginHUDDrawing,,USED
$8096F1,8427249,Interrupt_CmdA_StartDoorTransition_EndHUDDrawing,,USED
$809701,8427265,.BG1Sprites,,USED
$809703,8427267,.sprites,,USED
$809710,8427280,.command8,,USED
$809713,8427283,.return,,USED
$80971A,8427290,Interrupt_CmdC_Draygon_BeginHUDDrawing,,USED
$809733,8427315,Interrupt_CmdE_Draygon_EndHUDDrawing,,USED
$80974E,8427342,.commandC,,USED
$809751,8427345,.return,,USED
$809758,8427352,Interrupt_Cmd10_VerticalDoorTransition_BeginHUDDrawing,,USED
$809771,8427377,Interrupt_Cmd12_VerticalDoorTransition_EndHUDDrawing,,USED
$809781,8427393,.BG1Sprites,,USED
$809783,8427395,.sprites,,USED
$809796,8427414,.scrolling,,USED
$80979F,8427423,.return,,USED
$8097A9,8427433,Interrupt_Cmd14_VerticalDoorTransition_EndDrawing,,USED
$8097B1,8427441,.command10,,USED
$8097B4,8427444,.return,,USED
$8097C1,8427457,Interrupt_Cmd16_HorizontalDoorTransition_BeginHUDDrawing,,USED
$8097DA,8427482,Interrupt_Cmd18_HorizontalDoorTransition_EndHUDDrawing,,USED
$8097EA,8427498,.BG1Sprites,,USED
$8097EC,8427500,.sprites,,USED
$809800,8427520,.return,,USED
$80980A,8427530,Interrupt_Cmd1A_HorizontalDoorTransition_EndDrawing,,USED
$809812,8427538,.nextCommand,,USED
$80981A,8427546,.command16,,USED
$80981D,8427549,.return,,USED
$80982A,8427562,EnableHVCounterInterrupts,,USED
$809841,8427585,EnableHVCounterInterruptsNow,,USED
$80985F,8427615,DisableHVCounterInterrupts,,USED
$80986A,8427626,IRQ,,USED
$809870,8427632,.bank80,,USED
$80988B,8427659,Tilemap_HUD_topRow,,USED
$8098CB,8427723,Tilemap_HUD_rows123,,USED
$80998B,8427915,Tilemap_HUD_autoReserve,,USED
$809997,8427927,Tilemap_HUD_emptyAutoReserve,,USED
$8099A3,8427939,Tilemap_HUD_missiles,,USED
$8099A5,8427941,Tilemap_HUD_missiles_plus2,,USED
$8099A7,8427943,Tilemap_HUD_missiles_plus4,,USED
$8099A9,8427945,Tilemap_HUD_missiles_plus6,,USED
$8099AB,8427947,Tilemap_HUD_missiles_plus8,,USED
$8099AD,8427949,Tilemap_HUD_missiles_plusA,,USED
$8099AF,8427951,Tilemap_HUD_superMissiles,,USED
$8099B7,8427959,Tilemap_HUD_powerBombs,,USED
$8099BF,8427967,Tilemap_HUD_grapple,,USED
$8099C7,8427975,Tilemap_HUD_xray,,USED
$8099CF,8427983,AddMissilesToHUDTilemap,,USED
$809A0B,8428043,.return,,USED
$809A0E,8428046,AddSuperMissilesToHUDTilemap,,USED
$809A1E,8428062,AddPowerBombsToHUDTilemap,,USED
$809A2E,8428078,AddGrappleToHUDTilemap,,USED
$809A3E,8428094,AddXrayToHUDTilemap,,USED
$809A4C,8428108,Write2x2TileIconToHUDTilemap,,USED
$809A74,8428148,.return,,USED
$809A79,8428153,InitialiseHUD_GameLoading,,USED
$809AA3,8428195,.loopRows123,,USED
$809ABD,8428221,.grapple,,USED
$809AC9,8428233,.missiles,,USED
$809AD2,8428242,.superMissiles,,USED
$809ADB,8428251,.powerBombs,,USED
$809AE4,8428260,.previous,,USED
$809B0F,8428303,.maxSuperMissiles,,USED
$809B1D,8428317,.maxPowerBombs,,USED
$809B2B,8428331,.highlight,,USED
$809B44,8428356,HandleHUDTilemap_PausedAndRunning,,USED
$809B61,8428385,.drawAutoReserve,,USED
$809B8B,8428427,.handleSamusHealth,,USED
$809BCF,8428495,.loopEtanks,,USED
$809BDF,8428511,.drawEtanks,,USED
$809BEE,8428526,.drawEtanksDigits,,USED
$809BFB,8428539,.handleSamusMissiles,,USED
$809C16,8428566,.handleSuperMissiles,,USED
$809C39,8428601,.debugSuperMissiles,,USED
$809C3F,8428607,.handlePowerBombs,,USED
$809C55,8428629,.handleHighlighter,,USED
$809C96,8428694,.handleAutoCancel,,USED
$809CA4,8428708,.highlight,,USED
$809CCE,8428750,.etankIconOffsets,,USED
$809CEA,8428778,ToggleHUDItemHighlight,,USED
$809D08,8428808,.topRightMiddle,,USED
$809D1B,8428827,.bottomLeft,,USED
$809D2E,8428846,.bottomRightMiddle,,USED
$809D41,8428865,.checkY,,USED
$809D47,8428871,.topRight,,USED
$809D5A,8428890,.bottomRight,,USED
$809D6D,8428909,.return,,USED
$809D6E,8428910,.HUDItemOffsets,,USED
$809D78,8428920,DrawThreeHUDDigits,,USED
$809D98,8428952,DrawTwoHUDDigits,,USED
$809DBF,8428991,Tilemap_HUDDigits_health,,USED
$809DD3,8429011,Tilemap_HUDDigits_ammo,,USED
$809DE7,8429031,ProcessTimer,,USED
$809DFB,8429051,.pointers,,USED
$809E09,8429065,ProcessTimer_CeresStart,,USED
$809E1A,8429082,ProcessTimer_Inactive,,USED
$809E1C,8429084,ProcessTimer_MotherBrainStart,,USED
$809E2F,8429103,ProcessTimer_InitialDelay,,USED
$809E3E,8429118,.return,,USED
$809E41,8429121,ProcessTimer_RunningMovementDelayed,,USED
$809E53,8429139,.return,,USED
$809E58,8429144,ProcessTimer_RunningMovingIntoPlace,,USED
$809E6B,8429163,.XinPosition,,USED
$809E7E,8429182,.YinPosition,,USED
$809E89,8429193,ProcessTimer_RunningMovingIntoPlace_return,,USED
$809E8C,8429196,SetTimer,,USED
$809E93,8429203,ClearTimerRAM,,USED
$809EA9,8429225,DecrementTimer,,USED
$809ED7,8429271,.clearTimer,,USED
$809EE0,8429280,.checkExpired,,USED
$809EEB,8429291,.return,,USED
$809EEC,8429292,.centiseconds,,USED
$809F6C,8429420,DrawTimer,,USED
$809F95,8429461,DrawTwoTimerDigits,,USED
$809FB3,8429491,DrawTimerSpritemap,,USED
$809FD4,8429524,TimerDigitsSpritemapPointers,,USED
$809FE8,8429544,Spritemap_TimerDigits_0,,USED
$809FF4,8429556,Spritemap_TimerDigits_1,,USED
$80A000,8429568,Spritemap_TimerDigits_2,,USED
$80A00C,8429580,Spritemap_TimerDigits_3,,USED
$80A018,8429592,Spritemap_TimerDigits_4,,USED
$80A024,8429604,Spritemap_TimerDigits_5,,USED
$80A030,8429616,Spritemap_TimerDigits_6,,USED
$80A03C,8429628,Spritemap_TimerDigits_7,,USED
$80A048,8429640,Spritemap_TimerDigits_8,,USED
$80A054,8429652,Spritemap_TimerDigits_9,,USED
$80A060,8429664,Spritemap_Timer_TIME,,USED
$80A07B,8429691,StartGameplay,,USED
$80A111,8429841,.setNextInterrupt,,USED
$80A12B,8429867,HandleMusicQueueFor20Frames,,USED
$80A134,8429876,.loop,,USED
$80A149,8429897,ResumeGameplay,,USED
$80A176,8429942,DisplayViewablePartOfRoom,,USED
$80A18D,8429965,.loop,,USED
$80A1CA,8430026,.increment,,USED
$80A1E3,8430051,UNUSED_QueueClearingOfBG2Tilemap_80A1E3,,USED
$80A1E9,8430057,.loop,,USED
$80A211,8430097,QueueClearingOfFXTilemap,,USED
$80A217,8430103,.loop,,USED
$80A23F,8430143,ClearBG2Tilemap,,USED
$80A29A,8430234,.addr,,USED
$80A29C,8430236,ClearFXTilemap,,USED
$80A2F7,8430327,.addr,,USED
$80A2F9,8430329,CalculateLayer2XPosition,,USED
$80A32E,8430382,.scrollReturn,,USED
$80A337,8430391,.return,,USED
$80A33A,8430394,CalculateLayer2YPosition,,USED
$80A36F,8430447,.scrollReturn,,USED
$80A378,8430456,.return,,USED
$80A37B,8430459,CalculateBGScrolls,,USED
$80A3A0,8430496,CalculateBGScrolls_UpdateBGGraphics_WhenScrolling,,USED
$80A3AB,8430507,Calc_Layer2Position_BGScrolls_UpdateBGGraphics_WhenScrolling,,USED
$80A3B1,8430513,.continue,,USED
$80A3D4,8430548,.layer2Y,,USED
$80A3DF,8430559,UpdateBGGraphics_WhenScrolling,,USED
$80A3F7,8430583,.updateLayer1,,USED
$80A416,8430614,.layer1HorizontalEnd,,USED
$80A42F,8430639,.updateLayer2,,USED
$80A44E,8430670,.layer2HorizontalEnd,,USED
$80A461,8430689,+,,USED
$80A480,8430720,.layer1VerticalEnd,,USED
$80A499,8430745,.finish,,USED
$80A4B8,8430776,.return,,USED
$80A4BB,8430779,Calculate_BGScroll_LayerPositionBlocks,,USED
$80A4DC,8430812,+,,USED
$80A4EE,8430830,+,,USED
$80A512,8430866,+,,USED
$80A524,8430884,+,,USED
$80A528,8430888,HandleScrollZones_HorizontalAutoscrolling,,USED
$80A537,8430903,+,,USED
$80A548,8430920,+,,USED
$80A555,8430933,+,,USED
$80A5CF,8431055,.returnLayer1X,,USED
$80A5D4,8431060,.reachedRightScrollBoundary,,USED
$80A5D9,8431065,.unboundedFromLeft,,USED
$80A633,8431155,.return0939,,USED
$80A638,8431160,.reachedLeftScrollBoundary,,USED
$80A63B,8431163,+,,USED
$80A63E,8431166,.return,,USED
$80A641,8431169,HandleScrollZones_ScrollingRight,,USED
$80A662,8431202,+,,USED
$80A671,8431217,+,,USED
$80A6B5,8431285,+,,USED
$80A6B8,8431288,.return,,USED
$80A6BB,8431291,HandleScrollZones_ScrollingLeft,,USED
$80A6D9,8431321,+,,USED
$80A6E3,8431331,+,,USED
$80A72B,8431403,+,,USED
$80A72E,8431406,.return,,USED
$80A731,8431409,HandleScrollZones_VerticalAutoscrolling,,USED
$80A740,8431424,+,,USED
$80A77A,8431482,+,,USED
$80A788,8431496,+,,USED
$80A799,8431513,+,,USED
$80A813,8431635,+,,USED
$80A818,8431640,.reachedBottomScrollBoundary,,USED
$80A81D,8431645,.unboundedFromAbove,,USED
$80A885,8431749,.returnProposedLayer1X,,USED
$80A88A,8431754,.reachedTopScrollBoundary,,USED
$80A88D,8431757,.returnLayer1Y,,USED
$80A890,8431760,.return,,USED
$80A893,8431763,HandleScrollZones_ScrollingDown,,USED
$80A8D7,8431831,+,,USED
$80A8EB,8431851,+,,USED
$80A91E,8431902,.setLayer1Y,,USED
$80A930,8431920,+,,USED
$80A933,8431923,.return,,USED
$80A936,8431926,HandleScrollZones_ScrollingUp,,USED
$80A954,8431956,+,,USED
$80A95E,8431966,+,,USED
$80A9A6,8432038,+,,USED
$80A9A9,8432041,.return,,USED
$80A9AC,8432044,Debug_Layer1Position_Saving_Loading,,USED
$80A9B6,8432054,+,,USED
$80A9C9,8432073,+,,USED
$80A9D6,8432086,UpdateBackgroundDataColumn,,USED
$80A9DB,8432091,UpdateLevelDataColumn,,USED
$80A9DE,8432094,UpdateLevelBackgroundDataColumn,,USED
$80A9E4,8432100,+,,USED
$80AA09,8432137,+,,USED
$80AA52,8432210,+,,USED
$80AA59,8432217,+,,USED
$80AA81,8432257,+,,USED
$80AAA4,8432292,.loop,,USED
$80AAD7,8432343,+,,USED
$80AB02,8432386,+,,USED
$80AB2D,8432429,+,,USED
$80AB51,8432465,.next,,USED
$80AB69,8432489,.return,,USED
$80AB70,8432496,UpdateBackgroundDataRow,,USED
$80AB75,8432501,UpdateLevelDataRow,,USED
$80AB78,8432504,UpdateBackgroundLevelDataRow,,USED
$80AB7E,8432510,+,,USED
$80ABA3,8432547,+,,USED
$80AC04,8432644,+,,USED
$80AC0B,8432651,+,,USED
$80AC1C,8432668,+,,USED
$80AC34,8432692,+,,USED
$80AC57,8432727,.loop,,USED
$80AC8A,8432778,+,,USED
$80ACB5,8432821,+,,USED
$80ACE0,8432864,+,,USED
$80AD04,8432900,.next,,USED
$80AD16,8432918,.return,,USED
$80AD1D,8432925,DrawTopRowOfScreenForUpwardsDoorTransition,,USED
$80AD30,8432944,DoorTransitionScrollingSetup,,USED
$80AD4A,8432970,DoorTransitionScrollingSetup_Right,,USED
$80AD74,8433012,DoorTransitionScrollingSetup_Left,,USED
$80AD9E,8433054,DoorTransitionScrollingSetup_Down,,USED
$80ADC8,8433096,DoorTransitionScrollingSetup_Up,,USED
$80AE08,8433160,Door_Transition_Scrolling_Setup_Pointers,,USED
$80AE10,8433168,UpdatePreviousLayerBlocks,,USED
$80AE29,8433193,UpdateBGScrollOffsets,,USED
$80AE4E,8433230,DoorTransitionScrolling,,USED
$80AE73,8433267,.return,,USED
$80AE76,8433270,.pointers,,USED
$80AE7E,8433278,DoorTransitionScrolling_Right,,USED
$80AEC0,8433344,+,,USED
$80AEC2,8433346,DoorTransitionScrolling_Left,,USED
$80AF00,8433408,+,,USED
$80AF02,8433410,DoorTransitionScrolling_Down,,USED
$80AF44,8433476,+,,USED
$80AF77,8433527,.finish,,USED
$80AF87,8433543,+,,USED
$80AF89,8433545,DoorTransitionScrolling_Up,,USED
$80AFCB,8433611,+,,USED
$80B020,8433696,+,,USED
$80B024,8433700,.done,,USED
$80B030,8433712,+,,USED
$80B032,8433714,UNUSED_SetupRotatingMode7Background_80B032,,USED
$80B03F,8433727,+,,USED
$80B076,8433782,.loopClearLowBytes,,USED
$80B080,8433792,.loop,,USED
$80B087,8433799,.innerLoop,,USED
$80B0C2,8433858,UNUSED_ConfigureMode7RotationMatrix_80B0C2,,USED
$80B0FD,8433917,.return,,USED
$80B0FF,8433919,Decompression_HardcodedDestination,,USED
$80B119,8433945,Decompression_VariableDestination,,USED
$80B128,8433960,.loopMain,,USED
$80B134,8433972,+,,USED
$80B140,8433984,+,,USED
$80B15F,8434015,+,,USED
$80B164,8434020,.pushCommandBits,,USED
$80B16C,8434028,+,,USED
$80B176,8434038,+,,USED
$80B182,8434050,.loopDirectCopy,,USED
$80B18E,8434062,+,,USED
$80B199,8434073,.byteFill,,USED
$80B1A5,8434085,+,,USED
$80B1A8,8434088,.loopByteFill,,USED
$80B1B1,8434097,.wordFill,,USED
$80B1BD,8434109,+,,USED
$80B1CE,8434126,+,,USED
$80B1D3,8434131,.loopWordFill,,USED
$80B1E3,8434147,.goto_loopMain,,USED
$80B1E6,8434150,.incrementingFill,,USED
$80B1F2,8434162,+,,USED
$80B1F5,8434165,.loopIncrementingFill,,USED
$80B1FF,8434175,.dictionaryVariant,,USED
$80B213,8434195,+,,USED
$80B224,8434212,+,,USED
$80B229,8434217,.dictionaryCopy,,USED
$80B22B,8434219,.loopDictionaryCopy,,USED
$80B23B,8434235,+,,USED
$80B245,8434245,.slidingDictionary,,USED
$80B255,8434261,+,,USED
$80B266,8434278,SourceBankOverflowCorrection,,USED
$80B271,8434289,DecompressionToVRAM,,USED
$80B27F,8434303,.loopMain,,USED
$80B28B,8434315,+,,USED
$80B297,8434327,+,,USED
$80B2B6,8434358,+,,USED
$80B2BB,8434363,.pushCommandBits,,USED
$80B2C3,8434371,+,,USED
$80B2CD,8434381,+,,USED
$80B2DC,8434396,.loopDirectCopy,,USED
$80B2E8,8434408,+,,USED
$80B2F7,8434423,.VRAMDataWriteLow,,USED
$80B2FB,8434427,.VRAMDataWriteHigh,,USED
$80B302,8434434,.byteFill,,USED
$80B30E,8434446,+,,USED
$80B311,8434449,.loopByteFill,,USED
$80B31D,8434461,..writeHigh,,USED
$80B321,8434465,..writeLow,,USED
$80B328,8434472,.wordFill,,USED
$80B334,8434484,+,,USED
$80B345,8434501,+,,USED
$80B34A,8434506,.loopWordFill,,USED
$80B358,8434520,..writeHigh,,USED
$80B35C,8434524,..writeLow,,USED
$80B36E,8434542,..writeHigh2,,USED
$80B372,8434546,.writeLow2,,USED
$80B376,8434550,.goto_loopMain,,USED
$80B379,8434553,.incrementingFill,,USED
$80B385,8434565,+,,USED
$80B388,8434568,.loopIncrementingFill,,USED
$80B394,8434580,..writeHigh,,USED
$80B398,8434584,..writeLow,,USED
$80B3A0,8434592,.dictionaryVariant,,USED
$80B3B4,8434612,+,,USED
$80B3C5,8434629,+,,USED
$80B3D3,8434643,.loopDictionaryCopy,,USED
$80B3E8,8434664,+,,USED
$80B3F2,8434674,+,,USED
$80B40A,8434698,..writeHigh,,USED
$80B40E,8434702,..writeLow,,USED
$80B416,8434710,.slidingDictionary,,USED
$80B426,8434726,+,,USED
$80B437,8434743,Tilemap_FailedRegionCheck,,USED
$80BC37,8436791,Tilemap_FailedSRAMMappingCheck,,USED
$80C437,8438839,LoadFromLoadStation,,USED
$80C4B5,8438965,LoadStationListPointers,,USED
$80C4C5,8438981,LoadStations_Crateria,,USED
$80C5CF,8439247,LoadStations_Brinstar,,USED
$80C6D9,8439513,LoadStations_Norfair,,USED
$80C81B,8439835,LoadStations_WreckedShip,,USED
$80C917,8440087,LoadStations_Maridia,,USED
$80CA2F,8440367,LoadStations_Tourian,,USED
$80CB2B,8440619,LoadStations_Ceres,,USED
$80CC19,8440857,LoadStations_Debug,,USED
$80CD07,8441095,SetDebugElevatorAsUsed,,USED
$80CD46,8441158,.elevatorBits,,USED
$80CD52,8441170,..crateria,,USED
$80CD66,8441190,..brinstar,,USED
$80CD76,8441206,..norfair,,USED
$80CD82,8441218,..maridia,,USED
$80CD86,8441222,..tourian,,USED
